"","treenode_id","connector_id","prepost","x","y","z","skid"
"682",7643585,7643597,0,17420.232,39199.824,25850,2473306
"683",7573354,7573353,1,18131.092,40143.453,25550,2473306
"684",7643599,7643608,0,18026.432,39170.426,25950,2473306
"685",7473499,7567550,1,17374,38811.035,25000,2473306
"686",7643636,7643642,0,16599.21,39621.695,25150,2473306
"687",7643649,7643655,0,17176.012,39615.156,24750,2473306
"688",7643662,7643668,0,17048.611,39874.156,24450,2473306
"689",7541832,7600641,1,15896.533,39454.797,24800,2473306
"690",7643669,7643680,0,16831.611,40534.49,23750,2473306
"691",7643689,7643699,0,18094.412,40313.29,23550,2473306
"692",7643735,7643743,0,18125.525,40280.934,22800,2473306
"693",7473591,7603933,1,23477.975,31246.209,22300,2473322
"694",7473796,7569546,1,21791.004,40581.797,20350,2473357
"695",7572467,7572464,1,16978.58,36553.074,23700,2473357
"696",7473788,7572675,1,18195.646,36968.406,22600,2473357
"697",7567535,7567534,1,18085.2,35599.434,24600,2473357
"698",7637634,7637633,1,10808.25,46596.574,9500,2473584
"699",7645958,7645957,1,10332.25,43622.973,10000,2473589
"700",7645975,7645974,1,10462.45,43909.97,9850,2473589
"701",7475595,7645957,1,10332.25,43622.973,10000,2473599
"702",7674072,7674071,1,12961.54,33229,9400,2473645
"703",7691297,7691293,1,42258.074,51093.934,10850,2474445
"704",7691297,7691392,1,41874.473,50892.332,10850,2474445
"705",7605724,7605723,1,36428.4,63704.6,7450,2474472
"706",7576303,7576302,1,11844.933,46341.21,15700,2474505
"707",7576059,7576055,1,11541.133,45817.61,14000,2474529
"708",7481156,7575661,1,17768.8,33486.836,14600,2474541
"709",7575706,7575705,1,17679.2,33887.234,14100,2474541
"710",7634463,7634460,1,36151.734,59082.336,5600,2475912
"711",7634543,7634542,1,36496.137,58704.336,6150,2475912
"712",7646202,7605253,1,37506.4,53291.4,5350,2475939
"713",7634462,7634460,1,36151.734,59082.336,5600,2511558
"714",7634498,7634542,1,36496.137,58704.336,6150,2511558
"715",7634557,7634556,1,36053.74,57568.934,6000,2511558
"716",7634627,7634626,1,35740.14,57930.137,6350,2511558
"717",7605528,7691642,1,34969.6,62583.2,6700,2511558
"718",7492925,7634499,1,35857.74,59386.133,5800,2476064
"719",7634563,7634562,1,37033.74,58889.133,6600,2476099
"720",7605256,7605253,1,37506.4,53291.4,5350,2476108
"721",7605825,7605824,1,34863.055,62076.38,6700,2476165
"722",7605436,7605433,1,33662,62929,5100,2477697
"723",7646079,7646077,1,35739.6,63865.6,9350,2477712
"724",7634871,7634870,1,29444.8,41619.2,25150,2478234
"725",7566320,7566318,1,40250.465,47207.3,20750,2478252
"726",7569153,7569152,1,20951.47,37121.465,22950,2478628
"727",7567650,7567649,1,24865.87,43105.996,17950,2478628
"728",7567667,7567666,1,25149.602,43262.8,18800,2478628
"729",7510839,7567674,1,21767.203,39514.53,22450,2478628
"730",7603925,7603933,0,23477.975,31246.209,22300,2478701
"731",7511456,7569152,1,20951.47,37121.465,22950,2478710
"732",7569621,7569619,1,21258.07,35382.2,23200,2478710
"733",7634923,7634922,1,20333.6,34855.8,24900,2478710
"734",7635099,7635097,1,20011.88,36139.223,24000,2478710
"735",7635100,7635097,1,20011.88,36139.223,24000,2478710
"736",7576008,7576006,1,14181.785,34961.39,9900,2479831
"737",7646034,7646033,1,10823.65,43627.176,10600,2479859
"738",7576007,7576006,1,14181.785,34961.39,9900,2479866
"739",7576119,7576118,1,11333.933,43009.21,12800,2479873
"740",7576119,7576120,1,11375.933,42398.81,12850,2479873
"741",7576231,7576228,1,13792.333,41894.81,11200,2479873
"742",7519876,7673885,1,13377.34,35173.605,12450,2480023
"743",7575790,7575789,1,15458.8,33960.035,12000,2480044
"744",7577536,7577535,1,14663.6,31532.434,10200,2480050
"745",7576229,7576228,1,13792.333,41894.81,11200,2480071
"746",7576056,7576055,1,11541.133,45817.61,14000,2480077
"747",7520228,7576071,1,11515.933,44946.81,13400,2480077
"748",7569407,7569415,0,14330.4,34895.234,19900,2480113
"749",7569503,7569510,0,16202.2,33387.44,17350,2480113
"750",7576897,7576901,0,15941.8,34927.438,22900,2480113
"751",7577658,7577664,0,15248.8,35799.633,12950,2480113
"752",7575699,7575703,0,17127.6,34800.035,13600,2480113
"753",7575784,7575789,0,15458.8,33960.035,12000,2480113
"754",7575713,7575661,1,17768.8,33486.836,14600,2480113
"755",7575666,7575705,0,17679.2,33887.234,14100,2480113
"756",7576867,7567464,1,16357.6,33597.434,22400,2480113
"757",7567449,7567448,1,17066,34193.836,22700,2480113
"758",7673884,7673885,0,13377.34,35173.605,12450,2480113
"759",7577529,7577535,0,14663.6,31532.434,10200,2480113
"760",7577604,7577613,0,14501.2,27374.434,8200,2480113
"761",7674063,7674071,0,12961.54,33229,9400,2480113
"762",7575704,7575703,1,17127.6,34800.035,13600,2480131
"763",7577665,7577664,1,15248.8,35799.633,12950,2480136
"764",7520468,7575661,1,17768.8,33486.836,14600,2480136
"765",7520533,7572864,1,11580.801,38926.535,16250,2480149
"766",7570645,7570643,1,21550.668,45213.934,13950,2480156
"767",7570687,7570685,1,14960.4,42414.867,20700,2480156
"768",7542771,7542769,1,14942.563,41251.777,21300,2480156
"769",7520593,7542772,1,13464.733,41734.47,21050,2480156
"770",7573337,7542761,1,15072.867,41272.465,21900,2480156
"771",7520588,7542812,1,14325.266,40645.266,19600,2480156
"772",7520655,7572864,1,11580.801,38926.535,16250,2480165
"773",7520651,7572886,1,12845.001,38939.137,15400,2480165
"774",7572866,7572864,1,11580.801,38926.535,16250,2480176
"775",7542587,7542586,1,15987.535,42346.734,16300,2480181
"776",7572865,7572864,1,11580.801,38926.535,16250,2480190
"777",7542871,7542870,1,13344.335,38286.734,18050,2480190
"778",7572007,7572005,1,14125.535,38922.332,17700,2480190
"779",7570542,7570541,1,13753.04,37703.355,21100,2480205
"780",7570578,7570576,1,15690.735,40088.066,19100,2480205
"781",7542436,7542435,1,21431.201,41926.27,15700,2480205
"782",7625728,7625740,0,15817.614,39346.73,18900,2480205
"783",7573120,7573118,1,16498.531,38231.2,22200,2480205
"784",7520935,7573138,0,14794.538,37819.797,21400,2480205
"785",7525320,7571933,1,14977.2,38158.71,18950,2480205
"786",7542919,7571971,1,15066.8,38752.31,18600,2480205
"787",7542919,7571987,1,15769.6,38536.71,18550,2480205
"788",7576097,7576096,1,11423.533,42698.41,13200,2480215
"789",7570644,7570643,1,21550.668,45213.934,13950,2480221
"790",7573038,7573037,1,12789.934,39621.4,19250,2480221
"791",7520981,7542812,1,14325.266,40645.266,19600,2480221
"792",7627272,7627283,0,15117.205,40483.56,17500,2480221
"793",7627325,7627330,0,13104.939,39892.53,19800,2480221
"794",7520983,7571952,1,14658,38192.31,18850,2480221
"795",7571972,7571971,1,15066.8,38752.31,18600,2480221
"796",7572006,7572005,1,14125.535,38922.332,17700,2480221
"797",7572664,7572669,1,16045.247,38231.207,23000,2480230
"798",7564779,7564777,1,22113.469,43913.336,19500,2480239
"799",7572715,7627892,1,17904.13,40873.46,22100,2480239
"800",7542508,7570576,1,15690.735,40088.066,19100,2480248
"801",7571543,7555737,1,14728.932,43889.06,21850,2480254
"802",7541981,7541980,1,24243.8,43762.6,21600,2480293
"803",7564802,7564801,1,22119.068,44142.938,19000,2480293
"804",7572129,7572128,1,26335.715,45498.598,16300,2480293
"805",7572155,7572154,1,26801.135,45243.8,17400,2480293
"806",7541984,7572234,1,24811.4,44261,22200,2480293
"807",7569547,7569546,1,21791.004,40581.797,20350,2480302
"808",7572465,7572464,1,16978.58,36553.074,23700,2480302
"809",7572677,7541860,1,15675.647,39261.61,22850,2480302
"810",7521559,7572256,1,25102.6,44087.4,22200,2480313
"811",7567626,7567649,1,24865.87,43105.996,17950,2480313
"812",7567668,7567666,1,25149.602,43262.8,18800,2480313
"813",7572182,7541980,1,24243.8,43762.6,21600,2480313
"814",7572235,7572234,1,24811.4,44261,22200,2480313
"815",7542012,7542013,1,26635.936,44661.4,19350,2480329
"816",7521670,7572128,1,26335.715,45498.598,16300,2480329
"817",7521668,7572154,1,26801.135,45243.8,17400,2480329
"818",7521862,7577183,1,27375.596,43385.07,22850,2480354
"819",7572252,7572251,1,25371.4,44938.6,22000,2480362
"820",7532814,7540235,1,27159.998,42711.434,23850,2480362
"821",7569918,7569917,1,27477.797,42006.066,24950,2480362
"822",7532814,7566573,1,26725.998,42946.637,23850,2480362
"823",7577190,7577188,1,25295.195,43740.67,23150,2480362
"824",7566107,7566105,1,40369.81,53343.77,19200,2480369
"825",7525797,7569217,1,39224.58,48327.61,18900,2480375
"826",7570741,7570740,1,39553.73,48793.97,19450,2480375
"827",7570743,7570742,1,38905.066,50458.1,18350,2480375
"828",7525770,7566315,1,40222.465,48405.7,21250,2480375
"829",7525695,7566317,1,40102.066,48237.7,20850,2480375
"830",7568979,7568967,1,37939.066,50909.836,18900,2480375
"831",7522155,7650867,1,40680.61,54943.97,19000,2480391
"832",7650879,7650878,1,40969.01,55475.97,17950,2480391
"833",7575872,7575865,1,39953.2,58849.24,16800,2480406
"834",7575898,7575897,1,39802,57914.04,17050,2480406
"835",7566793,7566792,1,40797.867,55587,15300,2480406
"836",7575872,7628240,1,40537,58132.668,16950,2480406
"837",7525436,7571336,1,36792.613,53502.242,17750,2480414
"838",7569714,7569713,1,36652,52660.3,23050,2480480
"839",7522466,7566336,1,40053.43,50784.766,20750,2480480
"840",7525986,7525985,1,36273.535,52223.03,22400,2480480
"841",7525421,7525418,1,37908.26,55844.91,18200,2480491
"842",7570764,7570763,1,32741.332,49303.566,25000,2480505
"843",7566529,7525585,1,32605.066,45582.367,22800,2480505
"844",7571193,7571192,1,35824.133,49556.496,18250,2480526
"845",7571223,7571221,1,36588.848,50011.81,19900,2480526
"846",7522728,7569145,1,33176.266,46943.633,23000,2480526
"847",7525475,7525474,1,33465.6,49170.33,13800,2498433
"848",7571194,7571192,1,35824.133,49556.496,18250,2498433
"849",7571218,7571217,1,37286.047,50003.41,19700,2498433
"850",7525824,7525823,1,36806.934,50374.098,18700,2498433
"851",7571305,7571304,1,33272.39,49822.73,15150,2498433
"852",7525607,7566407,1,36280.066,48582.098,22350,2480578
"853",7525629,7525628,1,40226.67,50720.832,21150,2480578
"854",7569580,7569579,1,33856.2,51385.84,25650,2480587
"855",7571239,7571237,1,32951.336,49463.164,22650,2480587
"856",7571247,7571253,1,33547.734,50728.766,23800,2480587
"857",7525593,7566416,1,34336.867,47802.766,22650,2480595
"858",7525586,7525585,1,32605.066,45582.367,22800,2480595
"859",7522971,7569119,1,33904.266,46467.168,24700,2480595
"860",7569146,7569145,1,33176.266,46943.633,23000,2480595
"861",7571233,7571231,1,36363.2,49731.3,20650,2480605
"862",7523052,7566389,1,38616.2,49176.633,21450,2480605
"863",7566394,7525611,1,38982.066,49296.098,21800,2480605
"864",7523028,7566407,1,36280.066,48582.098,22350,2480605
"865",7571034,7571033,1,38177.375,52228.715,21600,2480619
"866",7525848,7571217,1,37286.047,50003.41,19700,2480619
"867",7571306,7571304,1,33272.39,49822.73,15150,2480619
"868",7571318,7571317,1,35772.48,51804.51,17400,2480619
"869",7523130,7547208,1,36064.78,56859.21,22400,2480627
"870",7570744,7570742,1,38905.066,50458.1,18350,2480645
"871",7525612,7525611,1,38982.066,49296.098,21800,2480645
"872",7569934,7541557,1,22080.799,55579.062,20950,2483345
"873",7566762,7566760,1,23991.332,58159.266,21450,2483345
"874",7570242,7570241,1,10593.333,46234.81,11650,2486384
"875",7691604,7691603,1,42686.81,55991.17,9050,2487643
"876",7605255,7605253,1,37506.4,53291.4,5350,2487651
"877",7605283,7605284,1,38027.2,53859.8,5900,2487651
"878",7605315,7605314,1,39312.4,52994.6,6900,2487651
"879",7605360,7605359,1,41826.8,53001.6,7300,2487651
"880",7605395,7605394,1,40211.2,53703,6850,2487651
"881",7569595,7569594,1,34087.2,51681.24,25200,2436531
"882",7525523,7570740,0,39553.73,48793.97,19450,2436531
"883",7540306,7570742,0,38905.066,50458.1,18350,2436531
"884",7525936,7570763,0,32741.332,49303.566,25000,2436531
"885",7570778,7570790,0,32116.932,49355.367,24950,2436531
"886",7525387,7570890,0,35180.336,52684.438,22600,2436531
"887",7570907,7525323,0,39594.8,54533.734,20350,2436531
"888",7570926,7333753,1,40256.53,55647.203,20750,2436531
"889",7570923,7570929,0,39656.4,55124.535,20600,2436531
"890",7570935,7525346,0,39855.2,55117.535,21100,2436531
"891",7571004,7571015,0,37846.977,53572.715,21550,2436531
"892",7571023,7571033,0,38177.375,52228.715,21600,2436531
"893",7571064,7525344,0,39053.46,54030.664,19900,2436531
"894",7571079,7571091,0,39252.26,55710.66,19850,2436531
"895",7571095,7571099,0,39425.86,55154.86,20100,2436531
"896",7571101,7571108,0,38734.26,54144.06,19550,2436531
"897",7546897,7546899,0,31197.918,58001.145,22700,2436531
"898",7571180,7571192,0,35824.133,49556.496,18250,2436531
"899",7571207,7571217,0,37286.047,50003.41,19700,2436531
"900",7525844,7571221,0,36588.848,50011.81,19900,2436531
"901",7571230,7571231,0,36363.2,49731.3,20650,2436531
"902",7525892,7571237,0,32951.336,49463.164,22650,2436531
"903",7525913,7571253,0,33547.734,50728.766,23800,2436531
"904",7525748,7566315,1,40222.465,48405.7,21250,2436531
