X,treenode_id,connector_id,prepost,x,y,z,skid,SSN_source,celltype
255,25249379,25337926,1,13244.78,47834.81,22550,3965114,SSN_Q1Q2Q3Q4,balancer
256,25248916,25337813,1,16809.025,47887.79,21450,3965128,SSN_Q1Q2,balancer
257,25249358,25337925,1,13544.38,48131.61,22950,3965131,SSN_Q1Q2Q3Q4,balancer
258,25333636,25337870,1,14912.521,51248.87,23300,3965131,SSN_Q1Q2Q3Q4,balancer
259,25333630,25337870,1,14912.521,51248.87,23300,3965148,SSN_Q1Q2Q3Q4,balancer
260,25284672,25337700,1,17390.799,51666.996,22600,3965158,SSN_Q1Q2Q3Q4,balancer
261,25246858,25337805,1,14745.73,44208.26,22550,3965162,SSN_Q1Q2,balancer
262,25202855,25337894,1,16928.492,50840.855,23000,3965166,SSN_Q1Q2,balancer
263,25248892,25337813,1,16809.025,47887.79,21450,3965166,SSN_Q1Q2,balancer
264,25245112,25338056,1,14728.932,43889.06,21850,3965173,SSN_Q1Q2,balancer
265,25248387,25337811,1,14955.73,46453.86,23250,3965173,SSN_Q1Q2,balancer
266,25236716,25338054,1,16806.531,46375.457,22150,3965173,SSN_Q1Q2,balancer
267,25205270,25337734,1,13698.533,43803.01,22800,3965175,SSN_Q1Q2Q3Q4,balancer
268,25221333,25337953,1,15865.111,42875,18350,3965175,SSN_Q1Q2,balancer
269,25204011,25337957,1,15363.6,43134.47,20300,3965175,SSN_Q1Q2,balancer
270,25245036,25338056,1,14728.932,43889.06,21850,3965175,SSN_Q1Q2,balancer
271,25221826,25337751,1,14960.4,42414.867,20700,3965180,SSN_Q1Q2,balancer
272,25310380,25337951,1,16937.2,44083.664,17300,3965180,SSN_Q1Q2,balancer
273,25311647,25337957,1,15363.6,43134.47,20300,3965180,SSN_Q1Q2,balancer
274,25207392,25337969,1,14325.266,40645.266,19600,3965180,SSN_Q1Q2,balancer
275,25272442,25337735,1,12337.733,41774.41,18350,3965186,SSN_Q1Q2Q3Q4,balancer
276,25271877,25337954,1,11689.533,46173.21,17100,3965227,SSN_Q1Q2Q3Q4,balancer
277,25289503,25337513,1,38441.82,61792.03,17150,3965335,SSN_Q1Q2Q3Q4,bridge
279,25239182,25338016,1,37558.266,62467.53,19350,3965335,SSN_Q3Q4,bridge
280,25245642,25338021,1,38363.42,61636.63,16850,3965335,SSN_Q1Q2Q3Q4,bridge
281,25239654,25338023,1,37963.02,62150.43,16750,3965335,SSN_Q1Q2Q3Q4,bridge
282,25218708,25338025,1,38318.934,62365.8,17550,3965335,SSN_Q1Q2Q3Q4,bridge
283,25245707,25338026,1,38376.33,63268.098,17350,3965335,SSN_Q1Q2Q3Q4,bridge
285,25255670,25337974,1,37311.797,62070.176,19000,3965335,SSN_Q1Q2Q3Q4,bridge
290,25256913,25337937,1,39802,57914.04,17050,3965342,SSN_Q1Q2Q3Q4,bridge
291,25295190,25337993,1,39506.13,59588.203,19850,3965342,SSN_Q3Q4,bridge
294,25228091,25337911,1,15601.29,40123.39,24750,3965344,SSN_Q1Q2,bridge
297,25227923,25337848,1,14556.892,41651.254,24250,3965344,SSN_Q1Q2,bridge
299,25258459,25337936,1,39704,59067.64,16450,3965348,SSN_Q1Q2Q3Q4,bridge
306,25258401,25337936,1,39704,59067.64,16450,3965361,SSN_Q1Q2Q3Q4,bridge
309,25209743,25337604,1,40222.465,48405.7,21250,3964973,SSN_Q1Q2Q3Q4,balancer
310,25189713,25337606,1,40102.066,48237.7,20850,3964973,SSN_Q1Q2Q3Q4,balancer
311,25282058,25337625,1,39994.27,48871.434,20400,3964973,SSN_Q3Q4,balancer
312,25209412,25337602,1,41670.41,52779.57,19450,3964993,SSN_Q1Q2Q3Q4,balancer
313,25201987,25337916,1,42321.41,54696.17,14200,3965039,SSN_Q1Q2Q3Q4,balancer
314,25289273,25337547,1,34939.72,52857.758,10450,3965054,SSN_Q1Q2Q3Q4,balancer
315,25307599,25337594,1,43397.484,53538.37,15350,3965062,SSN_Q1Q2Q3Q4,balancer
316,25202740,25337597,1,42331.21,53025.97,17400,3965062,SSN_Q1Q2Q3Q4,balancer
317,25287900,25337801,1,41575.332,55783.004,16000,3965068,SSN_Q1Q2Q3Q4,balancer
320,25284096,25337755,1,38905.066,50458.1,18350,3965117,SSN_Q3Q4,balancer
321,25284586,25337628,1,40369.47,49740.836,21600,3965117,SSN_Q3Q4,balancer
322,25277055,25337647,1,38232.13,53557,14150,3965123,SSN_Q1Q2Q3Q4,balancer
323,25280585,25337960,1,39054.4,55405.47,13400,3965123,SSN_Q1Q2Q3Q4,balancer
324,25237766,25338059,1,37976.457,54175.13,13100,3965123,SSN_Q1Q2Q3Q4,balancer
326,25239876,25337580,1,39234.535,58012.96,12950,3965226,SSN_Q1Q2Q3Q4,balancer
327,25254321,25337682,1,40490.8,58639.695,11050,3965229,SSN_Q1Q2Q3Q4,balancer
328,25235449,25337914,1,39892.53,60643.1,10400,3965255,SSN_Q1Q2Q3Q4,balancer
329,25235424,25337914,1,39892.53,60643.1,10400,3965276,SSN_Q1Q2Q3Q4,balancer
